Id,Headline,URL,Author,Date
1,Twitter had a very messy weekend,https://www.theverge.com/2023/4/3/23667751/twitter-legacy-blue-checkmark-wind-down-chaos,Jon Porter,Two hours ago
2,Why can’t more music apps be like Apple Music Classical?,https://www.theverge.com/2023/4/2/23659934/apple-music-classical-metadata-is-good,Alex Cranz,Apr 2
3,The Home Assistant SkyConnect is a great excuse to demolish your smart home and start from scratch,https://www.theverge.com/23641940/home-assistant-skyconnect-thread-matter-zigbee-smart-home,Chris Person,Apr 2
4,"Framework’s computers aren’t perfect, but they are exciting",https://www.theverge.com/23664746/framework-laptop-excitement-vpr-matrix-history-nostalgia,Dan Seifert,Apr 2
5,Cheaper Xbox expandable storage cards are on the way,https://www.theverge.com/2023/4/2/23666795/western-digital-xbox-storage-expansion-card,Tom Warren,Apr 2
6,April Fools’ Day 2023: the best and cringiest pranks,https://www.theverge.com/2023/4/1/23665955/april-fools-day-2023-pranks-jokes-best-worst,Richard Lawler,Apr 2
